feature_id	coordinate	D-CCN1-1	D-CCN1-2	D-CCN1-3	D-CTL-1	D-CTL-2	D-CTL-3	isoform_ids
inclusion_1:71598373	1:71598373-71597672_1:71598373-71597387	35.0	30.0	21.0	89.0	160.0	104.0	ENSMUST00000190780,ecc1c783-7864-47ea-9565-e604e49d1e1f,c38b1f01-cb9d-4d31-bb6e-061260f2e8ec,573789de-e3b1-4b8d-8e9a-7207408d141c,0d944d5f-1d54-4c18-bbd8-73a51cbad4ee,dfaf487f-e89a-437b-8e41-9e824b308b6a,e08ad1ac-9313-4b4e-8385-ae1d362f8a17,fe7f09f6-5fe9-4cf9-a511-075ef26aa228,282ebac9-0956-4a4a-9572-61ff34bfce28,ENSMUST00000187938,c6d3c2b9-a2f5-410a-afc4-25679e0f716e,e7e1c0f3-517f-4e15-a1be-91e2272383e9,6e9ec7d3-b39e-4127-9ea8-5122a5337c5a
exclusion_1:71598373	1:71598373-71597672_1:71598373-71597387	13.0	12.0	3.0	36.0	51.0	42.0	ENSMUST00000188674,ENSMUST00000189821,9c154024-ec0f-471d-bc38-bb1426d3b0ec,2f3b90a7-c23b-46c0-9567-e8a99a56b26f,1e87acd8-3ff9-41db-bbdc-71ca5526ab47,a81c35bd-66b2-44e2-b323-c5ad330640e0
inclusion_1:71598373-1	1:71598373-71597747_1:71598373-71597672	284.0	170.0	122.0	730.0	1304.0	873.0	ENSMUST00000186129,d8dfb29b-c9e4-4d9c-8921-b12581cdfd7d,ENSMUST00000188894,d66f0941-d9b2-4e90-b328-3e34eefca54c,dbd07255-86ab-4e35-b889-bfc978f1464f,2938add5-5672-4473-857b-c54debe2af38,d75b17d8-9bfb-4170-b468-dab83a668c72,445b9b4f-238f-4550-a49b-50457a4d183d,ec6debbe-a984-4287-b063-c5f9735494f9,d1b4a769-f271-4ca1-8e1f-426d762790ad,6d52360c-b6fc-4db9-bd95-515806abe1a3,7d5608f5-ceef-41d8-af8e-6c0e3ad5ff41,ee947071-aec5-4ea9-aeff-61ffb969cef7,35c3b7ee-97c3-4d89-a113-d8f442c5d6ae,44fe05b9-79a7-4454-bebb-3763ec7d8adc,7b9760d2-42a7-4ea3-99de-d0d8a5a91b4d,14a02896-d91b-4349-b49e-c0a789394f2d,bc333c6e-113a-47c8-90f8-9374b0aa3469,fafca684-798a-4f96-98b0-dadbe3d9d10c,f44e1cbd-df44-4237-a9a8-c56d1d52a382,118e9fd8-80f1-40bb-bae2-13ae9c544958,ENSMUST00000055226,8c4a456c-b6fa-4ee6-b381-c2c1bded33df,b4e7384c-4330-444a-8e06-037e89b17078,23564e5e-92c7-4eb4-9cc5-e1eb041bcacb,ab3516d4-e870-4c22-82f7-3cb784911f1f,740167ef-3e79-4ed3-bce0-19ea76516048,0e33412b-3d90-4942-b794-f78104bd1b25,85324380-8dc0-4f71-965c-05442287f319,85c42f29-07b1-43b6-b444-fd95b9ec786a,4fc2d1cb-493b-4951-bce3-6ea43ad8d228,714349c0-1278-4f84-b366-7438b2650f18,307f0f87-3392-4994-a5f6-7322f97785b7,8789c010-3c2a-4578-bd93-10474e3f1553,59db2570-dada-41b7-ae7f-fd45a64d60d5,d5c55164-d1a3-431a-aabc-4c3ba81da693,38a89308-0892-4b75-9f98-9f6e9e12c06c,2ffd3f10-59b0-4b86-9677-63c5d619d2d2,5b77986a-6868-425d-8983-6829cd82f604,1ca195b7-afdc-4dd0-9560-573f97a15097,7ea6c873-8eae-4dbb-8b1f-dd5fc91b900d,5c521229-39bb-42d7-8307-76c186727dc6,12593e7b-9093-4d90-afdb-c4fcbb58c84f,9497bcc5-5b6e-45db-a4fa-bb0c7968f00b,35387fb2-3e69-4ab6-b453-f7db7de7713f,9183217f-e842-425d-b552-d252018a21ed,fad7f345-ab5e-434e-a69d-9c869e88af76,164101dd-04ba-4973-b632-8e1a17f25dd9,1a7a6497-23f9-4ffb-8faa-fbe7c73bbe84,fad7f345-ab5e-434e-a69d-9c869e88af76-1,0045a7e0-7423-4cdd-92c5-db9fc6451266,2283c8ad-74a6-4a73-bd78-e6810c62f288,0aac70b8-af41-4322-9f41-19acd35b7926,fca36438-218b-49f4-be12-8c39f0220d51,437a0482-ca1e-442a-a144-73ab38565a80,b8fe6798-d870-47ec-8844-c96978df6a8f,341b119e-ab13-489f-a2cf-2118e8cc2b0c,5af8b800-0680-49e3-9dcf-7b5f81882c4d,ee240a3c-a863-446b-afb6-579e87798f9f,05c509de-5365-45ef-9dc3-159c5217821b,86718d6c-073d-493c-99a9-880e203b0823,d8109cad-ef35-4fd8-aacf-119dd919c9d2,5faa7ded-bea9-4670-8b16-52f126399b40,948ebec4-8186-4b09-9515-340725297378,375ff86f-6f42-473a-9d56-2f3683b7b5d0,1367ab00-055f-4dbf-9913-b99302a415df,c0971eef-eaf9-4ff1-b3b4-d0cef42bef80,7b70da1f-37b7-4c66-8189-f1ce41af5cdf
exclusion_1:71598373-1	1:71598373-71597747_1:71598373-71597672	35.0	30.0	21.0	89.0	160.0	104.0	ENSMUST00000190780,ecc1c783-7864-47ea-9565-e604e49d1e1f,c38b1f01-cb9d-4d31-bb6e-061260f2e8ec,573789de-e3b1-4b8d-8e9a-7207408d141c,0d944d5f-1d54-4c18-bbd8-73a51cbad4ee,dfaf487f-e89a-437b-8e41-9e824b308b6a,e08ad1ac-9313-4b4e-8385-ae1d362f8a17,fe7f09f6-5fe9-4cf9-a511-075ef26aa228,282ebac9-0956-4a4a-9572-61ff34bfce28,ENSMUST00000187938,c6d3c2b9-a2f5-410a-afc4-25679e0f716e,e7e1c0f3-517f-4e15-a1be-91e2272383e9,6e9ec7d3-b39e-4127-9ea8-5122a5337c5a
inclusion_1:135111045	1:135111045-135110500_1:135111045-135110330	1.0	0.0	5.0	0.0	2.0	0.0	3e1659dd-30a1-419b-b585-13b3b3c58c7b
exclusion_1:135111045	1:135111045-135110500_1:135111045-135110330	6.0	5.0	1.0	0.0	2.0	3.0	1e41d1bf-b192-412e-b2e1-6a022236b0d6,18266615-ce64-4162-8d30-4925f21e7d61
inclusion_1:180994627	1:180994627-180994087_1:180994627-180994045	612.0	525.0	401.0	548.0	606.0	584.0	51d581ca-997a-4b61-94b5-1c9bb5a562af,ENSMUST00000036928,dca0f6f0-4632-41f9-98f5-ac8d544eadf2,2b1e9bb9-8e00-443b-98b7-727600a0a629
exclusion_1:180994627	1:180994627-180994087_1:180994627-180994045	16.0	19.0	9.0	19.0	5.0	13.0	ENSMUST00000111068
inclusion_1:54651668	1:54651668-54649600_1:54651668-54648335	1.0	1.0	0.0	2.0	0.0	0.0	1fdf41f1-2a48-4a9a-83c7-8664790ef44e
exclusion_1:54651668	1:54651668-54649600_1:54651668-54648335	13.0	15.0	13.0	8.0	10.0	8.0	ENSMUST00000179030,ENSMUST00000179030-1
